72,Air Berlin;AB;BER;AIR BERLIN;Germany
73,Air Bosna;JA;BON;AIR BOSNA;Bosnia and Herzegovina
74,Air Botswana;BP;BOT;BOTSWANA;Botswana
75,Air Bourbon;ZB;BUB;BOURBON;Reunion
76,Air Burkina;2J;VBW;BURKINA;Burkina Faso
77,Air Burundi;8Y;PBU;AIR-BURUNDI;Burundi
78,Air Caledonie International;SB;ACI;AIRCALIN;France
79,Air Calédonie;TY;TPC;AIRCAL;France
80,Air Canada Jazz;QK;JZA;JAZZ;Canada
81,Air Canada;AC;ACA;AIR CANADA;Canada
82,Air Caraïbes;TX;FWI;FRENCH WEST;France
83,Air Cargo Carriers;2Q;SNC;NIGHT CARGO;United States
84,Air Central;NV;CRF;AIR CENTRAL;Japan
85,Air Chathams;CV;CVA;CHATHAM;New Zealand
86,Air China;CA;CCA;AIR CHINA;China
87,Air City;4F;ECE;AIRCITY;Germany
88,Air Class Lineas Aereas;QD;QCL;ACLA;Uruguay
89,Air Comores International;GG;HAH;AIR COMORES;Comoros
90,Air Contractors;AG;ABR;CONTRACT;Ireland
91,Air Corridor;QC;CRD;AIR CORRIDOR;Mozambique
92,Air D'Ayiti;H9;HAD;HAITI AVIA;Haiti
93,Air Dolomiti;EN;DLA;DOLOMOTI;Italy
94,Air Europa;UX;AEA;EUROPA;Spain
95,Air Europe;PE;AEL;AIR EUROPE;Italy
96,Air Exel;XT;AXL;EXEL COMMUTER;Netherlands
97,Air Fiji;PC;FAJ;FIJIAIR;Fiji
98,Air Finland;OF;FIF;AIR FINLAND;Finland
99,Air Florida;QH;FLZ;AIR FLORIDA;United States
100,Air Foyle;GS;UPA;FOYLE;United Kingdom
101,Air France;AF;AFR;AIRFRANS;France
102,Air Gabon;GN;AGN;GOLF NOVEMBER;Gabon
103,Air Georgia;DA;GRG;AIR GEORGIA;Georgia
104,Air Georgian;ZX;GGN;GEORGIAN;Canada
105,Air Glaciers;7T;AGV;AIR GLACIERS;Switzerland
106,Air Greenland;GL;GRL;GREENLAND;Denmark
107,Air Guinee Express;2U;GIP;FUTURE EXPRESS;Guinea
108,Air Hong Kong;LD;AHK;AIR HONG KONG;Hong Kong
109,Air Horizon;8C;HZT;HORIZON TOGO;Togo
110,Air Iceland;NY;FXI;FAXI;Iceland
111,Air India Express;IX;AXB;EXPRESS INDIA;India
112,Air India Limited;AI;AIC;AIRINDIA;India
113,Air Italy;I9;AEY;AIR ITALY;Italy
114,Air Ivoire;VU;VUN;AIRIVOIRE;Ivory Coast
115,Air Jamaica;JM;AJM;JAMAICA;Jamaica
116,Air Japan;NQ;AJX;AIR JAPAN;Japan
117,Air Kazakhstan;9Y;KZK;Kazakh;Kazakhstan
118,Air Kiribati;4A;AKL;\N;Kiribati
119,Air Koryo;JS;KOR;AIR KORYO;Democratic People's Republic of Korea
120,Air Liberté;VD;\N;\N;France
121,Air Lithuania;TT;KLA;KAUNAS;Lithuania
122,Air Luxor GB;L8;LXG;LUXOR GOLF;Guinea-Bissau
123,Air Luxor;LK;LXR;AIRLUXOR;Portugal
124,Air Macau;NX;AMU;AIR MACAO;Macao
125,Air Madagascar;MD;MDG;AIR MADAGASCAR;Madagascar
126,Air Madrid;NM;DRD;ALADA AIR;Spain
127,Air Malawi;QM;AML;MALAWI;Malawi
128,Air Malta;KM;AMC;AIR MALTA;Malta
129,Air Mandalay;6T;\N;Six Tango;Burma
130,Air Marshall Islands;CW;CWM;AIR MARSHALLS;Marshall Islands
131,Air Mauritanie;MR;MRT;MIKE ROMEO;Mauritania
